pt,ground_cvr,lifeform1,lifeform2,lifeform3,lifeform4,plot_id,transect,date,read_status
28,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
29,LITT,none,none,none,none,ATWE-THIN-02,North-South,2024-11-06,PRE-RX
1,LITT,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
2,BOLE,FORB,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
3,LITT,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
4,LITT,FORB,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
5,LITT,FORB,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
6,LITT,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
7,LITT,RIRO,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
8,LITT,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
9,LITT,SYMO,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
10,LITT,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
11,LITT,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
12,LITT,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
13,BARE,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
14,LITT,FORB,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
16,BARE,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
17,BARE,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
18,BARE,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
19,LITT,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
20,LITT,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
21,BEDROCK,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
22,BARE,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
23,BARE,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
24,BARE,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
25,BARE,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
26,LITT,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
27,BARE,SYMO,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
28,BARE,RULE,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
29,LITT,none,none,none,none,ATWE-THIN-04,North-South,2024-11-07,PRE-RX
1,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
2,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
3,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
4,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
5,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
6,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
7,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
8,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
9,BARE,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
10,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
11,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
12,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
13,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
14,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
16,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
17,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
18,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
19,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
20,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
21,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
22,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
23,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
24,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
25,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
26,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
27,"ROCK (>1"")",none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
28,LITT,none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
29,"ROCK (>1"")",none,none,none,none,ATWE-THIN-06,North-South,2024-11-10,PRE-RX
1,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
2,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
3,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
4,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
5,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
6,"WOOD (>1"")",none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
7,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
8,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
9,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
10,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
11,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
12,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
13,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
14,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
16,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
17,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
18,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
19,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
20,"WOOD (>1"")",none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
21,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
22,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
23,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
24,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
25,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
26,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
27,"WOOD (>1"")",none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
28,LITT,none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
29,"ROCK (>1"")",none,none,none,none,ATWE-THIN-10,North-South,2024-11-05,PRE-RX
1,BOLE,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
2,BOLE,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
3,BOLE,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
4,BOLE,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
5,BOLE,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
6,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
7,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
8,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
9,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
10,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
11,BOLE,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
12,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
13,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
14,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
16,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
17,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
18,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
19,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
20,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
21,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
22,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
23,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
24,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
25,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
26,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
27,LITT,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
28,BOLE,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
29,BOLE,none,none,none,none,ATWE-THIN-11,North-South,2024-11-07,PRE-RX
1,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
2,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
3,"WOOD (>1"")",none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
4,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
5,"WOOD (>1"")",none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
6,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
7,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
8,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
9,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
10,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
11,"WOOD (>1"")",none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
12,"WOOD (>1"")",none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
13,"WOOD (>1"")",none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
14,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
16,"WOOD (>1"")",none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
17,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
18,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
19,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
20,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
21,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
22,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
23,BOLE,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
24,BARE,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
25,"WOOD (>1"")",none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
26,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
27,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
28,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
29,LITT,none,none,none,none,ATWE-THIN-13,North-South,2024-11-06,PRE-RX
1,LITT,CADE,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
2,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
3,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
4,LITT,none,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
5,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
6,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
7,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
8,BARE,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
9,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
10,LITT,none,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
11,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
12,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
13,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
14,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
16,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
17,LITT,none,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
18,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
19,"WOOD (>1"")",none,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
20,"WOOD (>1"")",CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
21,LITT,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
22,LITT,none,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
23,LITT,CADE,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
24,LITT,none,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
25,LITT,CADE,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
26,LITT,none,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
27,BEDROCK,none,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
28,BEDROCK,none,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
29,BEDROCK,CECO,none,none,none,ATWE-THIN-15,North-South,2024-11-08,PRE-RX
1,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
2,LITT,LUPIN,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
3,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
4,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
5,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
6,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
7,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
8,LITT,RIRO,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
9,LITT,GRAMINOID,FERN,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
10,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
11,LITT,GRAMINOID,FORB,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
12,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
13,LITT,FORB,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
14,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
16,"WOOD (>1"")",none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
17,BARE,FORB,RIRO,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
18,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
19,LITT,FERN,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
20,LITT,FERN,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
21,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
22,BARE,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
23,LITT,FERN,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
24,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
25,LITT,FERN,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
26,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
27,LITT,none,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
28,LITT,FORB,none,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
29,LITT,FORB,FERN,none,none,ATWE-THIN-18,North-South,2024-11-10,PRE-RX
1,BARE,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
2,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
3,"WOOD (>1"")",none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
4,BARE,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
5,BARE,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
6,"WOOD (>1"")",none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
7,CHAR,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
8,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
9,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
10,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
11,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
12,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
13,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
14,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
16,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
17,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
18,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
19,BARE,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
20,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
21,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
22,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
23,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
24,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
25,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
26,LITT,PILA,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
27,BARE,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
28,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
29,LITT,none,none,none,none,ATWE-THIN-19,North-South,2024-11-09,PRE-RX
1,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
2,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
3,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
4,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
5,LITT,RIRO,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
6,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
7,LITT,RULE,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
8,LITT,RULE,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
9,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
10,LITT,RULE,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
11,LITT,RULE,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
12,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
13,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
14,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
16,"WOOD (>1"")",none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
17,BOLE,FORB,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
18,LITT,FORB,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
19,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
20,BOLE,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
21,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
22,BARE,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
23,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
24,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
25,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
26,LITT,none,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
27,LITT,SEGI,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
28,LITT,SEGI,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
29,LITT,SEGI,none,none,none,ATWE-THIN-23,North-South,2024-11-07,PRE-RX
1,BARE,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
2,BARE,FORB,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
3,"ROCK (>1"")",none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
4,BARE,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
5,LITT,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
6,LITT,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
7,LITT,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
8,"ROCK (>1"")",none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
9,BARE,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
10,BARE,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
11,LITT,FORB,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
12,LITT,FORB,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
13,LITT,FORB,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
14,LITT,FORB,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
16,BARE,FORB,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
17,BARE,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
18,BARE,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
19,BARE,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
20,BARE,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
21,CHAR,CADE,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
22,BARE,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
23,LITT,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
24,BARE,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
25,LITT,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
26,LITT,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
27,LITT,FORB,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
28,LITT,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
29,LITT,none,none,none,none,ATWE-THIN-24,North-South,2024-11-08,PRE-RX
1,LITT,none,none,none,none,ATWE-THIN-25,North-South,2024-11-05,PRE-RX
2,"WOOD (>1"")",none,none,none,none,ATWE-THIN-25,North-South,2024-11-05,PRE-RX
3,LITT,none,none,none,none,ATWE-THIN-25,North-South,2024-11-05,PRE-RX
4,LITT,none,none,none,none,ATWE-THIN-25,North-South,2024-11-05,PRE-RX
5,LITT,none,none,none,none,ATWE-THIN-25,North-South,2024-11-05,PRE-RX
